Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type
MGI:107420	MGI	MGI:107420	Irak1	interleukin-1 receptor-associated kinase 1	protein coding gene
MGI:2429603	MGI	MGI:2429603	Irak2	interleukin-1 receptor-associated kinase 2	protein coding gene
MGI:1921164	MGI	MGI:1921164	Irak3	interleukin-1 receptor-associated kinase 3	protein coding gene
MGI:2182474	MGI	MGI:2182474	Irak4	interleukin-1 receptor-associated kinase 4	protein coding gene
MGI:1930134	MGI	MGI:1930134	Ern1	endoplasmic reticulum (ER) to nucleus signalling 1	protein coding gene
MGI:1349436	MGI	MGI:1349436	Ern2	endoplasmic reticulum (ER) to nucleus signalling 2	protein coding gene
MGI:1346037	MGI	MGI:1346037	Insrr	insulin receptor-related receptor	protein coding gene
MGI:96621	MGI	MGI:96621	Itk	IL2 inducible T cell kinase	protein coding gene
MGI:96628	MGI	MGI:96628	Jak1	Janus kinase 1	protein coding gene
MGI:96629	MGI	MGI:96629	Jak2	Janus kinase 2	protein coding gene
MGI:99928	MGI	MGI:99928	Jak3	Janus kinase 3	protein coding gene
MGI:1346861	MGI	MGI:1346861	Mapk8	mitogen-activated protein kinase 8	protein coding gene
MGI:1346862	MGI	MGI:1346862	Mapk9	mitogen-activated protein kinase 9	protein coding gene
MGI:1346863	MGI	MGI:1346863	Mapk10	mitogen-activated protein kinase 10	protein coding gene
MGI:96683	MGI	MGI:96683	Kdr	kinase insert domain protein receptor	protein coding gene
MGI:1925503	MGI	MGI:1925503	Map4k5	mitogen-activated protein kinase kinase kinase kinase 5	protein coding gene
MGI:2154405	MGI	MGI:2154405	Map4k3	mitogen-activated protein kinase kinase kinase kinase 3	protein coding gene
MGI:1341908	MGI	MGI:1341908	Uhmk1	U2AF homology motif (UHM) kinase 1	protein coding gene
MGI:96677	MGI	MGI:96677	Kit	KIT proto-oncogene receptor tyrosine kinase	protein coding gene
MGI:1920957	MGI	MGI:106025	Gucy2g	guanylate cyclase 2g	protein coding gene
MGI:105051	MGI	MGI:105051	Ksr1	kinase suppressor of ras 1	protein coding gene
MGI:1333883	MGI	MGI:1333883	Lats1	large tumor suppressor	protein coding gene
MGI:1354386	MGI	MGI:1354386	Lats2	large tumor suppressor 2	protein coding gene
MGI:96756	MGI	MGI:96756	Lck	lymphocyte protein tyrosine kinase	protein coding gene
MGI:104572	MGI	MGI:104572	Limk1	LIM-domain containing, protein kinase	protein coding gene
MGI:1197517	MGI	MGI:1197517	Limk2	LIM motif-containing protein kinase 2	protein coding gene
MGI:1341870	MGI	MGI:1341870	Stk11	serine/threonine kinase 11	protein coding gene
MGI:1197518	MGI	MGI:1197518	Aatk	apoptosis-associated tyrosine kinase	protein coding gene
MGI:1099439	MGI	MGI:1099439	Stk10	serine/threonine kinase 10	protein coding gene
MGI:2442723	MGI	MGI:2142227	Lrrk1	leucine-rich repeat kinase 1	protein coding gene
MGI:1913975	MGI	MGI:1913975	Lrrk2	leucine-rich repeat kinase 2	protein coding gene
MGI:96840	MGI	MGI:96840	Ltk	leukocyte tyrosine kinase	protein coding gene
MGI:96892	MGI	MGI:96892	Lyn	LYN proto-oncogene, Src family tyrosine kinase	protein coding gene
MGI:2444243	MGI	MGI:2444243	Map3k13	mitogen-activated protein kinase kinase kinase 13	protein coding gene
MGI:96913	MGI	MGI:96913	Mak	male germ cell-associated kinase	protein coding gene
MGI:1346866	MGI	MGI:1346866	Map2k1	mitogen-activated protein kinase kinase 1	protein coding gene
MGI:1346867	MGI	MGI:1346867	Map2k2	mitogen-activated protein kinase kinase 2	protein coding gene
MGI:1346868	MGI	MGI:1346868	Map2k3	mitogen-activated protein kinase kinase 3	protein coding gene
MGI:1346869	MGI	MGI:1346869	Map2k4	mitogen-activated protein kinase kinase 4	protein coding gene
MGI:1346345	MGI	MGI:1346345	Map2k5	mitogen-activated protein kinase kinase 5	protein coding gene
MGI:1346870	MGI	MGI:1346870	Map2k6	mitogen-activated protein kinase kinase 6	protein coding gene
MGI:1346871	MGI	MGI:1346871	Map2k7	mitogen-activated protein kinase kinase 7	protein coding gene
MGI:1346872	MGI	MGI:1346872	Map3k1	mitogen-activated protein kinase kinase kinase 1	protein coding gene
MGI:1346873	MGI	MGI:1346873	Map3k2	mitogen-activated protein kinase kinase kinase 2	protein coding gene
MGI:1346874	MGI	MGI:1346874	Map3k3	mitogen-activated protein kinase kinase kinase 3	protein coding gene
MGI:1346875	MGI	MGI:1346875	Map3k4	mitogen-activated protein kinase kinase kinase 4	protein coding gene
MGI:1346876	MGI	MGI:1346876	Map3k5	mitogen-activated protein kinase kinase kinase 5	protein coding gene
MGI:1855691	MGI	MGI:1855691	Map3k6	mitogen-activated protein kinase kinase kinase 6	protein coding gene
MGI:109298	MGI	MGI:109298	Mapkapk2	MAP kinase-activated protein kinase 2	protein coding gene
MGI:2143163	MGI	MGI:2143163	Mapkapk3	mitogen-activated protein kinase-activated protein kinase 3	protein coding gene
MGI:1333110	MGI	MGI:1333110	Mapkapk5	MAP kinase-activated protein kinase 5	protein coding gene
MGI:2138592	MGI	MGI:2664902	Mark1	MAP/microtubule affinity regulating kinase 1	protein coding gene
MGI:99638	MGI	MGI:99638	Mark2	MAP/microtubule affinity regulating kinase 2	protein coding gene
MGI:1920955	MGI	MGI:1920955	Mark4	MAP/microtubule affinity regulating kinase 4	protein coding gene
MGI:1351487	MGI	MGI:1351487	Smok2a	sperm motility kinase 2A	protein coding gene
MGI:1351488	MGI	MGI:1351488	Smok1	sperm motility kinase 1	protein coding gene
MGI:1861901	MGI	MGI:1861901	Mast1	microtubule associated serine/threonine kinase 1	protein coding gene
MGI:894676	MGI	MGI:894676	Mast2	microtubule associated serine/threonine kinase 2	protein coding gene
MGI:1918885	MGI	MGI:1918885	Mast4	microtubule associated serine/threonine kinase family member 4	protein coding gene
MGI:1914371	MGI	MGI:1914371	Mastl	microtubule associated serine/threonine kinase-like	protein coding gene
MGI:106924	MGI	MGI:106924	Melk	maternal embryonic leucine zipper kinase	protein coding gene
MGI:96965	MGI	MGI:96965	Mertk	c-mer proto-oncogene tyrosine kinase	protein coding gene
MGI:96969	MGI	MGI:96969	Met	met proto-oncogene	protein coding gene
MGI:105062	MGI	MGI:105062	Amhr2	anti-Mullerian hormone type 2 receptor	protein coding gene
MGI:2449952	MGI	MGI:2449952	Map3k9	mitogen-activated protein kinase kinase kinase 9	protein coding gene
MGI:1920282	MGI	MGI:1920282	Ttc9b	tetratricopeptide repeat domain 9B	protein coding gene
MGI:1346880	MGI	MGI:1346880	Map3k11	mitogen-activated protein kinase kinase kinase 11	protein coding gene
MGI:1921818	MGI	MGI:1921818	Mlkl	mixed lineage kinase domain-like	protein coding gene
MGI:894316	MGI	MGI:894316	Mknk1	MAP kinase-interacting serine/threonine kinase 1	protein coding gene
MGI:894279	MGI	MGI:894279	Mknk2	MAP kinase-interacting serine/threonine kinase 2	protein coding gene
MGI:1347040	MGI	MGI:1336881	Mok	MOK protein kinase	protein coding gene
MGI:1313271	MGI	MGI:1313271	Stk16	serine/threonine kinase 16	protein coding gene
MGI:2441841	MGI	MGI:2441841	Cdc42bpa	CDC42 binding protein kinase alpha	protein coding gene
MGI:1920336	MGI	MGI:1920336	Rps6ka5	ribosomal protein S6 kinase, polypeptide 5	protein coding gene
MGI:1930076	MGI	MGI:1930076	Rps6ka4	ribosomal protein S6 kinase, polypeptide 4	protein coding gene
MGI:1891338	MGI	MGI:1891338	Srpk3	serine/arginine-rich protein specific kinase 3	protein coding gene
MGI:1929004	MGI	MGI:1929004	Stk4	serine/threonine kinase 4	protein coding gene
MGI:1928487	MGI	MGI:1928487	Stk3	serine/threonine kinase 3	protein coding gene
MGI:1353637	MGI	MGI:2385007	Stk24	serine/threonine kinase 24	protein coding gene
MGI:1917665	MGI	MGI:1917665	Stk26	serine/threonine kinase 26	protein coding gene
MGI:103581	MGI	MGI:103581	Musk	muscle, skeletal, receptor tyrosine kinase	protein coding gene
MGI:2183924	MGI	MGI:2183924	Myo3a	myosin IIIA	protein coding gene
MGI:2443983	MGI	MGI:2448580	Myo3b	myosin IIIB	protein coding gene
MGI:2137630	MGI	MGI:2137630	Pkmyt1	protein kinase, membrane associated tyrosine/threonine 1	protein coding gene
MGI:2442572	MGI	MGI:2442572	Stk38	serine/threonine kinase 38	protein coding gene
MGI:1922250	MGI	MGI:1922250	Stk38l	serine/threonine kinase 38 like	protein coding gene
MGI:97303	MGI	MGI:97303	Nek1	NIMA (never in mitosis gene a)-related expressed kinase 1	protein coding gene
MGI:2442276	MGI	MGI:2442276	Nek11	NIMA (never in mitosis gene a)-related expressed kinase 11	protein coding gene
MGI:109359	MGI	MGI:109359	Nek2	NIMA (never in mitosis gene a)-related expressed kinase 2	protein coding gene
